price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
7350000,5150.0,3,2,4,1,0,0,0,1,2,0,1
7350000,6000.0,3,2,2,1,1,0,0,1,1,0,1
7350000,6000.0,3,1,2,1,0,0,0,1,1,0,0
7343000,10500.0,4,1,2,1,0,1,0,0,1,1,1
7245000,9000.0,4,2,4,1,1,0,0,1,1,1,2
7210000,7680.0,4,2,4,1,1,0,0,1,1,0,1
7210000,6000.0,3,2,4,1,1,0,0,1,1,0,2
7140000,6000.0,3,2,2,1,1,0,0,0,1,0,1
7070000,8880.0,2,1,1,1,0,0,0,1,1,0,1
7070000,6240.0,4,2,2,1,0,0,0,1,1,0,2
7035000,6360.0,4,2,3,1,0,0,0,1,2,1,2
7000000,10500.0,3,1,1,1,0,1,0,1,1,1,2
6930000,8880.0,3,2,2,1,0,1,0,1,1,0,2
6930000,10500.0,2,1,1,1,0,1,1,0,1,0,2
6895000,7700.0,3,2,1,1,0,0,0,0,2,0,0
6860000,6000.0,3,1,1,1,0,0,0,1,1,0,2
6790000,10500.0,4,2,2,1,0,0,0,0,2,1,2
6790000,4000.0,3,2,2,1,0,1,0,1,0,1,1
6755000,6000.0,4,2,4,1,0,0,0,1,0,0,0
6720000,5020.0,3,1,4,1,0,0,0,1,0,1,0
6685000,6600.0,2,2,4,1,0,1,0,0,0,1,2
6650000,4040.0,3,1,2,1,0,1,1,0,1,0,2
6650000,4260.0,4,2,2,1,0,0,1,0,0,0,1
6650000,6420.0,3,2,3,1,0,0,0,1,0,1,2
6650000,6500.0,3,2,3,1,0,0,0,1,0,1,2
6650000,5700.0,3,1,1,1,1,1,0,1,2,1,2
6650000,6000.0,3,2,3,1,1,0,0,1,0,0,2
6629000,6000.0,3,1,2,1,0,0,1,0,1,1,1
6615000,4000.0,3,2,2,1,0,1,0,1,1,0,1
6615000,10500.0,3,2,1,1,0,1,0,1,1,1,2
6580000,6000.0,3,2,4,1,0,0,0,1,0,0,1
6510000,3760.0,3,1,2,1,0,0,1,0,2,0,1
6510000,8250.0,3,2,3,1,0,0,0,1,0,0,2
6510000,6670.0,3,1,3,1,0,1,0,0,0,1,0
6475000,3960.0,3,1,1,1,0,1,0,0,2,0,1
6475000,7410.0,3,1,1,1,1,1,0,1,2,1,0
6440000,8580.0,5,3,2,1,0,0,0,0,2,0,2
6440000,5000.0,3,1,2,1,0,0,0,1,0,0,1
6419000,6750.0,2,1,1,1,1,1,0,0,2,1,2
6405000,4800.0,3,2,4,1,1,0,0,1,0,0,2
6300000,7200.0,3,2,1,1,0,1,0,1,3,0,1
6300000,6000.0,4,2,4,1,0,0,0,0,1,0,1
6300000,4100.0,3,2,3,1,0,0,0,1,2,0,1
6300000,9000.0,3,1,1,1,0,1,0,0,1,1,2
6300000,6400.0,3,1,1,1,1,1,0,1,1,1,1
6293000,6600.0,3,2,3,1,0,0,0,1,0,1,0
6265000,6000.0,4,1,3,1,1,1,0,0,0,1,0
6230000,6600.0,3,2,1,1,0,1,0,1,0,1,0
6230000,5500.0,3,1,3,1,0,0,0,0,1,1,0
6195000,5500.0,3,2,4,1,1,0,0,1,1,0,1
6195000,6350.0,3,2,3,1,1,0,0,1,0,0,2
6195000,5500.0,3,2,1,1,1,1,0,0,2,1,2
6160000,4500.0,3,1,4,1,0,0,0,1,0,0,0
6160000,5450.0,4,2,1,1,0,1,0,1,0,1,1
6125000,6420.0,3,1,3,1,0,1,0,0,0,1,0
6107500,3240.0,4,1,3,1,0,0,0,0,1,0,1
6090000,6615.0,4,2,2,1,1,0,1,0,1,0,1
6090000,6600.0,3,1,1,1,1,1,0,0,2,1,1
6090000,8372.0,3,1,3,1,0,0,0,1,2,0,0
6083000,4300.0,6,2,2,1,0,0,0,0,0,0,2
6083000,9620.0,3,1,1,1,0,1,0,0,2,1,2
6020000,6800.0,2,1,1,1,1,1,0,0,2,0,2
6020000,8000.0,3,1,1,1,1,1,0,1,2,1,1
6020000,6900.0,3,2,1,1,1,1,0,0,0,1,0
5950000,3700.0,4,1,2,1,1,0,0,1,0,0,2
5950000,6420.0,3,1,1,1,0,1,0,1,0,1,2
5950000,7020.0,3,1,1,1,0,1,0,1,2,1,1
5950000,6540.0,3,1,1,1,1,1,0,0,2,1,2
5950000,7231.0,3,1,2,1,1,1,0,1,0,1,1
5950000,6254.0,4,2,1,1,0,1,0,0,1,1,1
5950000,7320.0,4,2,2,1,0,0,0,0,0,0,2
5950000,6525.0,3,2,4,1,0,0,0,0,1,0,2
5943000,10500.0,3,1,1,1,0,0,0,1,2,0,1
5880000,7160.0,3,1,1,1,0,1,0,0,2,1,0
5880000,6500.0,3,2,3,1,0,0,0,1,0,0,0
5873000,5500.0,3,1,3,1,1,0,0,1,1,0,2
5873000,10500.0,3,1,3,1,0,0,0,0,2,1,1
5866000,4800.0,3,1,1,1,1,1,0,0,0,0,0
5810000,5828.0,4,1,4,1,1,0,0,0,0,0,1
5810000,5200.0,3,1,3,1,0,0,0,1,0,0,1
5810000,4800.0,3,1,3,1,0,0,0,1,0,0,0
5803000,7000.0,3,1,1,1,0,1,0,0,2,1,1
5775000,6000.0,3,2,4,1,0,0,0,1,0,0,0
5740000,5400.0,4,2,2,1,0,0,0,1,2,0,0
5740000,4640.0,4,1,2,1,0,0,0,0,1,0,1
5740000,5000.0,3,1,3,1,0,0,0,1,0,0,1
5740000,6360.0,3,1,1,1,1,1,0,1,2,1,2
5740000,5800.0,3,2,4,1,0,0,0,1,0,0,0
5652500,6660.0,4,2,2,1,1,1,0,0,1,1,1
5600000,10500.0,4,2,2,1,0,0,0,0,1,0,1
5600000,4800.0,5,2,3,0,0,1,1,0,0,0,0
5600000,4700.0,4,1,2,1,1,1,0,1,1,0,2
5600000,5000.0,3,1,4,1,0,0,0,0,0,0,2
5600000,10500.0,2,1,1,1,0,0,0,0,1,0,1
5600000,5500.0,3,2,2,1,0,0,0,0,1,0,1
5600000,6360.0,3,1,3,1,0,0,0,0,0,1,1
5600000,6600.0,4,2,1,1,0,1,0,0,0,1,1
5600000,5136.0,3,1,2,1,1,1,0,1,0,1,0
5565000,4400.0,4,1,2,1,0,0,0,1,2,1,1
5565000,5400.0,5,1,2,1,1,1,0,1,0,1,2
5530000,3300.0,3,3,2,1,0,1,0,0,0,0,1
5530000,3650.0,3,2,2,1,0,0,0,0,2,0,1
5530000,6100.0,3,2,1,1,0,1,0,0,2,1,2
5523000,6900.0,3,1,1,1,1,1,0,0,0,1,1
5495000,2817.0,4,2,2,0,1,1,0,0,1,0,2
5495000,7980.0,3,1,1,1,0,0,0,0,2,0,1
5460000,3150.0,3,2,1,1,1,1,0,1,0,0,2
5460000,6210.0,4,1,4,1,1,0,0,1,0,0,2
5460000,6100.0,3,1,3,1,1,0,0,1,0,1,1
5460000,6600.0,4,2,2,1,1,1,0,0,0,1,1
5425000,6825.0,3,1,1,1,1,1,0,1,0,1,1
5390000,6710.0,3,2,2,1,1,1,0,0,1,1,2
5383000,6450.0,3,2,1,1,1,1,1,0,0,0,0
5320000,7800.0,3,1,1,1,0,1,0,1,2,1,0
5285000,4600.0,2,2,1,1,0,0,0,1,2,0,1
5250000,4260.0,4,1,2,1,0,1,0,1,0,0,2
5250000,6540.0,4,2,2,0,0,0,0,1,0,0,1
5250000,5500.0,3,2,1,1,0,1,0,0,0,0,1
5250000,10269.0,3,1,1,1,0,0,0,0,1,1,1
5250000,8400.0,3,1,2,1,1,1,0,1,2,1,0
5250000,5300.0,4,2,1,1,0,0,0,1,0,1,0
5250000,3800.0,3,1,2,1,1,1,0,0,1,1,0
5250000,9800.0,4,2,2,1,1,0,0,0,2,0,1
5250000,8520.0,3,1,1,1,0,0,0,1,2,0,2
5243000,6050.0,3,1,1,1,0,1,0,0,0,1,1
5229000,7085.0,3,1,1,1,1,1,0,0,2,1,1
5215000,3180.0,3,2,2,1,0,0,0,0,2,0,1
5215000,4500.0,4,2,1,0,0,1,0,1,2,0,1
5215000,7200.0,3,1,2,1,1,1,0,0,1,1,2
5145000,3410.0,3,1,2,0,0,0,0,1,0,0,1
5145000,7980.0,3,1,1,1,0,0,0,0,1,1,1
5110000,3000.0,3,2,2,1,1,1,0,0,0,0,2
5110000,3000.0,3,1,2,1,0,1,0,0,0,0,0
5110000,10500.0,2,1,2,1,0,0,0,0,0,1,2
5110000,6100.0,3,1,1,1,0,1,0,1,0,1,1
5075000,5720.0,2,1,2,1,0,0,0,1,0,1,0
5040000,3540.0,2,1,1,0,1,1,0,0,0,0,1
5040000,7600.0,4,1,2,1,0,0,0,1,2,0,2
5040000,10500.0,3,1,2,1,1,1,0,0,0,0,1
5040000,6600.0,3,1,1,1,1,1,0,0,0,1,2
5033000,4800.0,2,1,1,1,1,1,0,0,0,0,1
5005000,8150.0,3,2,1,1,1,1,0,0,0,0,1
4970000,4410.0,4,3,2,1,0,1,0,0,2,0,1
4970000,7686.0,3,1,1,1,1,1,1,0,0,0,1
4956000,2800.0,3,2,2,0,0,1,0,1,1,0,1
4935000,5948.0,3,1,2,1,0,0,0,1,0,0,1
4907000,4200.0,3,1,2,1,0,0,0,0,1,0,2
4900000,4520.0,3,1,2,1,0,1,0,1,0,0,1
4900000,4095.0,3,1,2,0,1,1,0,1,0,0,1
4900000,4120.0,2,1,1,1,0,1,0,0,1,0,1
4900000,5400.0,4,1,2,1,0,0,0,0,0,0,1
4900000,4770.0,3,1,1,1,1,1,0,0,0,0,1
4900000,6300.0,3,1,1,1,0,0,0,1,2,0,1
4900000,5800.0,2,1,1,1,1,1,0,1,0,0,1
4900000,3000.0,3,1,2,1,0,1,0,1,0,0,1
4900000,2970.0,3,1,3,1,0,0,0,0,0,0,1
4900000,6720.0,3,1,1,1,0,0,0,0,0,0,0
4900000,4646.0,3,1,2,1,1,1,0,0,2,0,1
4900000,10500.0,3,1,1,1,0,0,0,0,2,0,2
4893000,3420.0,4,2,2,1,0,1,0,1,2,0,1
4893000,4995.0,4,2,1,1,0,1,0,0,0,0,1
4865000,4350.0,2,1,1,1,0,1,0,0,0,0,0
4830000,4160.0,3,1,3,1,0,0,0,0,0,0,0
4830000,6040.0,3,1,1,1,0,0,0,0,2,1,1
4830000,6862.0,3,1,2,1,0,0,0,1,2,1,2
4830000,4815.0,2,1,1,1,0,0,0,1,0,1,1
4795000,7000.0,3,1,2,1,0,1,0,0,0,0,0
4795000,8100.0,4,1,4,1,0,1,0,1,2,0,1
4767000,3420.0,4,2,2,1,0,0,0,0,0,0,1
4760000,9166.0,2,1,1,1,0,1,0,1,2,0,1
4760000,6321.0,3,1,2,1,0,1,0,1,1,0,2
4760000,10240.0,2,1,1,1,0,0,0,1,2,1,0
4753000,6440.0,2,1,1,1,0,0,0,1,3,0,1
4690000,5170.0,3,1,4,1,0,0,0,1,0,0,1
4690000,6000.0,2,1,1,1,0,1,0,1,1,0,2
4690000,3630.0,3,1,2,1,0,0,0,0,2,0,1
4690000,9667.0,4,2,2,1,1,1,0,0,1,0,1
4690000,5400.0,2,1,2,1,0,0,0,0,0,1,1
4690000,4320.0,3,1,1,1,0,0,0,0,0,1,1
4655000,3745.0,3,1,2,1,0,1,0,0,0,0,2
4620000,4160.0,3,1,1,1,1,1,0,1,0,0,0
4620000,3880.0,3,2,2,1,0,1,0,0,2,0,1
4620000,5680.0,3,1,2,1,1,0,0,1,1,0,1
4620000,2870.0,2,1,2,1,1,1,0,0,0,1,1
4620000,5010.0,3,1,2,1,0,1,0,0,0,0,1
4613000,4510.0,4,2,2,1,0,1,0,0,0,0,1
4585000,4000.0,3,1,2,1,0,0,0,0,1,0,2
4585000,3840.0,3,1,2,1,0,0,0,0,1,1,1
4550000,3760.0,3,1,1,1,0,0,0,0,2,0,1
4550000,3640.0,3,1,2,1,0,0,0,1,0,0,2
4550000,2550.0,3,1,2,1,0,1,0,0,0,0,2
4550000,5320.0,3,1,2,1,1,1,0,0,0,1,1
4550000,5360.0,3,1,2,1,0,0,0,0,2,1,0
4550000,3520.0,3,1,1,1,0,0,0,0,0,1,1
4550000,8400.0,4,1,4,1,0,0,0,0,3,0,0
4543000,4100.0,2,2,1,1,1,1,0,0,0,0,1
4543000,4990.0,4,2,2,1,1,1,0,0,0,1,2
4515000,3510.0,3,1,3,1,0,0,0,0,0,0,1
4515000,3450.0,3,1,2,1,0,1,0,0,1,0,1
4515000,9860.0,3,1,1,1,0,0,0,0,0,0,1
4515000,3520.0,2,1,2,1,0,0,0,0,0,1,2
4480000,4510.0,4,1,2,1,0,0,0,1,2,0,1
4480000,5885.0,2,1,1,1,0,0,0,1,1,0,0
4480000,4000.0,3,1,2,1,0,0,0,0,2,0,2
4480000,8250.0,3,1,1,1,0,0,0,0,0,0,2
4480000,4040.0,3,1,2,1,0,0,0,0,1,0,1
4473000,6360.0,2,1,1,1,0,1,0,1,1,0,2
4473000,3162.0,3,1,2,1,0,0,0,1,1,0,2
4473000,3510.0,3,1,2,1,0,0,0,0,0,0,1
4445000,3750.0,2,1,1,1,1,1,0,0,0,0,1
4410000,3968.0,3,1,2,0,0,0,0,0,0,0,1
4410000,4900.0,2,1,2,1,0,1,0,0,0,0,1
4403000,2880.0,3,1,2,1,0,0,0,0,0,1,1
4403000,4880.0,3,1,1,1,0,0,0,0,2,1,0
4403000,4920.0,3,1,2,1,0,0,0,0,1,0,1
4382000,4950.0,4,1,2,1,0,0,0,1,0,0,1
4375000,3900.0,3,1,2,1,0,0,0,0,0,0,0
4340000,4500.0,3,2,3,1,0,0,1,0,1,0,2
4340000,1905.0,5,1,2,0,0,1,0,0,0,0,1
4340000,4075.0,3,1,1,1,1,1,0,0,2,0,1
4340000,3500.0,4,1,2,1,0,0,0,0,2,0,2
4340000,6450.0,4,1,2,1,0,0,0,0,0,0,1
4319000,4032.0,2,1,1,1,0,1,0,0,0,0,2
4305000,4400.0,2,1,1,1,0,0,0,0,1,0,1
4305000,10360.0,2,1,1,1,0,0,0,0,1,1,1
4277000,3400.0,3,1,2,1,0,1,0,0,2,1,1
4270000,6360.0,2,1,1,1,0,0,0,0,0,0,2
4270000,6360.0,2,1,2,1,0,0,0,0,0,0,0
4270000,4500.0,2,1,1,1,0,0,0,1,2,0,2
4270000,2175.0,3,1,2,0,1,1,0,1,0,0,0
4270000,4360.0,4,1,2,1,0,0,0,0,0,0,2
4270000,7770.0,2,1,1,1,0,0,0,0,1,0,2
4235000,6650.0,3,1,2,1,1,0,0,0,0,0,1
4235000,2787.0,3,1,1,1,0,1,0,0,0,1,2
4200000,5500.0,3,1,2,1,0,0,0,1,0,0,0
4200000,5040.0,3,1,2,1,0,1,0,1,0,0,0
4200000,5850.0,2,1,1,1,1,1,0,0,2,0,1
4200000,2610.0,4,3,2,0,0,0,0,0,0,0,1
4200000,2953.0,3,1,2,1,0,1,0,1,0,0,0
4200000,2747.0,4,2,2,0,0,0,0,0,0,0,1
4200000,4410.0,2,1,1,0,0,0,0,0,1,0,0
4200000,4000.0,4,2,2,0,0,0,0,0,0,0,1
4200000,2325.0,3,1,2,0,0,0,0,0,0,0,1
4200000,4600.0,3,2,2,1,0,0,0,1,1,0,1
4200000,3640.0,3,2,2,1,0,1,0,0,0,0,0
4200000,5800.0,3,1,1,1,0,0,1,0,2,0,1
4200000,7000.0,3,1,1,1,0,0,0,0,3,0,2
4200000,4079.0,3,1,3,1,0,0,0,0,0,0,1
4200000,3520.0,3,1,2,1,0,0,0,0,0,1,1
4200000,2145.0,3,1,3,1,0,0,0,0,1,1,0
4200000,4500.0,3,1,1,1,0,1,0,0,0,0,2
4193000,8250.0,3,1,1,1,0,1,0,0,3,0,1
4193000,3450.0,3,1,2,1,0,0,0,0,1,0,1
4165000,4840.0,3,1,2,1,0,0,0,0,1,0,1
4165000,4080.0,3,1,2,1,0,0,0,0,2,0,1
4165000,4046.0,3,1,2,1,0,1,0,0,1,0,1
4130000,4632.0,4,1,2,1,0,0,0,1,0,0,1
4130000,5985.0,3,1,1,1,0,1,0,0,0,0,1
4123000,6060.0,2,1,1,1,0,1,0,0,1,0,1
4098500,3600.0,3,1,1,1,0,1,0,1,0,1,2
4095000,3680.0,3,2,2,1,0,0,0,0,0,0,1
4095000,4040.0,2,1,2,1,0,0,0,0,1,0,1
4095000,5600.0,2,1,1,1,0,0,0,1,0,0,1
4060000,5900.0,4,2,2,0,0,1,0,0,1,0,0
4060000,4992.0,3,2,2,1,0,0,0,0,2,0,0
4060000,4340.0,3,1,1,1,0,0,0,0,0,0,1
4060000,3000.0,4,1,3,1,0,1,0,1,2,0,1
4060000,4320.0,3,1,2,1,0,0,0,0,2,1,2
4025000,3630.0,3,2,2,1,0,0,1,0,2,0,1
4025000,3460.0,3,2,1,1,0,1,0,1,1,0,2
4025000,5400.0,3,1,1,1,0,0,0,0,3,0,1
4007500,4500.0,3,1,2,0,0,1,0,1,0,0,1
4007500,3460.0,4,1,2,1,0,0,0,1,0,0,1
3990000,4100.0,4,1,1,0,0,1,0,0,0,0,0
3990000,6480.0,3,1,2,0,0,0,0,1,1,0,1
3990000,4500.0,3,2,2,0,0,1,0,1,0,0,1
3990000,3960.0,3,1,2,1,0,0,0,0,0,0,2
3990000,4050.0,2,1,2,1,1,1,0,0,0,1,0
3920000,7260.0,3,2,1,1,1,1,0,0,3,0,2
3920000,5500.0,4,1,2,1,1,1,0,0,0,0,1
3920000,3000.0,3,1,2,1,0,0,0,0,0,0,1
3920000,3290.0,2,1,1,1,0,0,1,0,1,0,2
3920000,3816.0,2,1,1,1,0,1,0,1,2,0,2
3920000,8080.0,3,1,1,1,0,0,0,1,2,0,1
3920000,2145.0,4,2,1,1,0,1,0,0,0,1,0
3885000,3780.0,2,1,2,1,1,1,0,0,0,0,1
3885000,3180.0,4,2,2,1,0,0,0,0,0,0,2
3850000,5300.0,5,2,2,1,0,0,0,0,0,0,1
3850000,3180.0,2,2,1,1,0,1,0,0,2,0,1
3850000,7152.0,3,1,2,1,0,0,0,1,0,0,2
3850000,4080.0,2,1,1,1,0,0,0,0,0,0,1
3850000,3850.0,2,1,1,1,0,0,0,0,0,0,1
3850000,2015.0,3,1,2,1,0,1,0,0,0,1,1
3850000,2176.0,2,1,2,1,1,0,0,0,0,1,1
3836000,3350.0,3,1,2,1,0,0,0,0,0,0,0
3815000,3150.0,2,2,1,0,0,1,0,0,0,0,1
3780000,4820.0,3,1,2,1,0,0,0,0,0,0,1
3780000,3420.0,2,1,2,1,0,0,1,0,1,0,1
3780000,3600.0,2,1,1,1,0,0,0,0,0,0,1
3780000,5830.0,2,1,1,1,0,0,0,0,2,0,0
3780000,2856.0,3,1,3,1,0,0,0,0,0,1,2
3780000,8400.0,2,1,1,1,0,0,0,0,1,0,2
3773000,8250.0,3,1,1,1,0,0,0,0,2,0,2
3773000,2520.0,5,2,1,0,0,1,0,1,1,0,2
3773000,6930.0,4,1,2,0,0,0,0,0,1,0,2
3745000,3480.0,2,1,1,1,0,0,0,0,0,1,1
3710000,3600.0,3,1,1,1,0,0,0,0,1,0,0
3710000,4040.0,2,1,1,1,0,0,0,0,0,0,1
3710000,6020.0,3,1,1,1,0,0,0,0,0,0,1
3710000,4050.0,2,1,1,1,0,0,0,0,0,0,2
3710000,3584.0,2,1,1,1,0,0,1,0,0,0,1
3703000,3120.0,3,1,2,0,0,1,1,0,0,0,1
3703000,5450.0,2,1,1,1,0,0,0,0,0,0,2
3675000,3630.0,2,1,1,1,0,1,0,0,0,0,2
3675000,3630.0,2,1,1,1,0,0,0,1,0,0,0
3675000,5640.0,2,1,1,0,0,0,0,0,0,0,1
3675000,3600.0,2,1,1,1,0,0,0,0,0,0,2
3640000,4280.0,2,1,1,1,0,0,0,1,2,0,1
3640000,3570.0,3,1,2,1,0,1,0,0,0,0,1
3640000,3180.0,3,1,2,0,0,1,0,0,0,0,1
3640000,3000.0,2,1,2,1,0,0,0,1,0,0,2
3640000,3520.0,2,2,1,1,0,1,0,0,0,0,1
3640000,5960.0,3,1,2,1,1,1,0,0,0,0,0
3640000,4130.0,3,2,2,1,0,0,0,0,2,0,1
3640000,2850.0,3,2,2,0,0,1,0,0,0,1,0
3640000,2275.0,3,1,3,1,0,0,1,1,0,1,1
3633000,3520.0,3,1,1,1,0,0,0,0,2,1,0
3605000,4500.0,2,1,1,1,0,0,0,0,0,0,1
3605000,4000.0,2,1,1,1,0,0,0,0,0,1,1
3570000,3150.0,3,1,2,1,0,1,0,0,0,0,2
3570000,4500.0,4,2,2,1,0,1,0,0,2,0,2
3570000,4500.0,2,1,1,0,0,0,0,0,0,0,2
3570000,3640.0,2,1,1,1,0,0,0,0,0,0,0
3535000,3850.0,3,1,1,1,0,0,0,0,2,0,0
3500000,4240.0,3,1,2,1,0,0,0,1,0,0,1
3500000,3650.0,3,1,2,1,0,0,0,0,0,0,0
3500000,4600.0,4,1,2,1,0,0,0,0,0,0,1
3500000,2135.0,3,2,2,0,0,0,0,0,0,0,0
3500000,3036.0,3,1,2,1,0,1,0,0,0,0,1
3500000,3990.0,3,1,2,1,0,0,0,0,0,0,1
3500000,7424.0,3,1,1,0,0,0,0,0,0,0,0
3500000,3480.0,3,1,1,0,0,0,0,1,0,0,0
3500000,3600.0,6,1,2,1,0,0,0,0,1,0,0
3500000,3640.0,2,1,1,1,0,0,0,0,1,0,1
3500000,5900.0,2,1,1,1,0,0,0,0,1,0,2
3500000,3120.0,3,1,2,1,0,0,0,0,1,0,0
3500000,7350.0,2,1,1,1,0,0,0,0,1,0,1
3500000,3512.0,2,1,1,1,0,0,0,0,1,1,0
3500000,9500.0,3,1,2,1,0,0,0,0,3,1,0
3500000,5880.0,2,1,1,1,0,0,0,0,0,0,0
3500000,10500.0,3,1,1,1,0,0,0,0,0,0,0
3493000,4900.0,3,1,2,0,0,0,0,0,0,0,0
3465000,3060.0,3,1,1,1,0,0,0,0,0,0,0
3465000,5320.0,2,1,1,1,0,0,0,0,1,1,0
3465000,2145.0,3,1,3,1,0,0,0,0,0,1,2
3430000,4000.0,2,1,1,1,0,0,0,0,0,0,0
3430000,3185.0,2,1,1,1,0,0,0,0,2,0,0
3430000,3850.0,3,1,1,1,0,0,0,0,0,0,0
3430000,2145.0,3,1,3,1,0,0,0,0,0,1,2
3430000,2610.0,3,1,2,1,0,1,0,0,0,1,0
3430000,1950.0,3,2,2,1,0,1,0,0,0,1,0
3423000,4040.0,2,1,1,1,0,0,0,0,0,0,0
3395000,4785.0,3,1,2,1,1,1,0,1,1,0,2
3395000,3450.0,3,1,1,1,0,1,0,0,2,0,0
3395000,3640.0,2,1,1,1,0,0,0,0,0,0,2
3360000,3500.0,4,1,2,1,0,0,0,1,2,0,0
3360000,4960.0,4,1,3,0,0,0,0,0,0,0,1
3360000,4120.0,2,1,2,1,0,0,0,0,0,0,0
3360000,4750.0,2,1,1,1,0,0,0,0,0,0,0
3360000,3720.0,2,1,1,0,0,0,0,1,0,0,0
3360000,3750.0,3,1,1,1,0,0,0,0,0,0,0
3360000,3100.0,3,1,2,0,0,1,0,0,0,0,1
3360000,3185.0,2,1,1,1,0,1,0,0,2,0,2
3353000,2700.0,3,1,1,0,0,0,0,0,0,0,2
3332000,2145.0,3,1,2,1,0,1,0,0,0,1,2
3325000,4040.0,2,1,1,1,0,0,0,0,1,0,0
3325000,4775.0,4,1,2,1,0,0,0,0,0,0,0
3290000,2500.0,2,1,1,0,0,0,0,1,0,0,0
3290000,3180.0,4,1,2,1,0,1,0,1,0,0,0
3290000,6060.0,3,1,1,1,1,1,0,0,0,0,2
3290000,3480.0,4,1,2,0,0,0,0,0,1,0,1
3290000,3792.0,4,1,2,1,0,0,0,0,0,0,1
3290000,4040.0,2,1,1,1,0,0,0,0,0,0,0
3290000,2145.0,3,1,2,1,0,1,0,0,0,1,2
3290000,5880.0,3,1,1,1,0,0,0,0,1,0,0
3255000,4500.0,2,1,1,0,0,0,0,0,0,0,1
3255000,3930.0,2,1,1,0,0,0,0,0,0,0,0
3234000,3640.0,4,1,2,1,0,1,0,0,0,0,0
3220000,4370.0,3,1,2,1,0,0,0,0,0,0,0
3220000,2684.0,2,1,1,1,0,0,0,1,1,0,0
3220000,4320.0,3,1,1,0,0,0,0,0,1,0,0
3220000,3120.0,3,1,2,0,0,0,0,0,0,0,2
3150000,3450.0,1,1,1,1,0,0,0,0,0,0,2
3150000,3986.0,2,2,1,0,1,1,0,0,1,0,0
